BVI_069_0007	UniRef50_A0A1L4BKA0	0.322	204	138	0	14	217	499	702	1.305E-25	115	BVI_069_0007 name=22_7	UniRef50_A0A1L4BKA0 Uncharacterized protein n=2 Tax=Cafeteriavirus-dependent mavirus TaxID=1932923 RepID=A0A1L4BKA0_9VIRU	Cafeteriavirus-dependent mavirus
BVI_069_0007	UniRef50_A0A081NHN2	0.347	133	81	0	32	156	1	133	1.947E-06	58	BVI_069_0007 name=22_7	UniRef50_A0A081NHN2 Lipase_3 domain-containing protein n=2 Tax=Endozoicomonas TaxID=305899 RepID=A0A081NHN2_9GAMM	Endozoicomonas
BVI_069_0007	UniRef50_UPI000D176A52	0.305	108	70	0	70	171	131	238	1.567E-05	55	BVI_069_0007 name=22_7	UniRef50_UPI000D176A52 GDSL esterase/lipase At4g10955-like n=1 Tax=Physcomitrium patens TaxID=3218 RepID=UPI000D176A52	Physcomitrium patens
BVI_069_0007	UniRef50_A0A2K1JP91	0.305	108	70	0	70	171	131	238	1.567E-05	55	BVI_069_0007 name=22_7	UniRef50_A0A2K1JP91 Lipase_3 domain-containing protein n=2 Tax=Physcomitrium patens TaxID=3218 RepID=A0A2K1JP91_PHYPA	Physcomitrium patens
BVI_069_0007	UniRef50_UPI0015AE79E1	0.327	108	63	0	53	147	24	131	9.293E-05	53	BVI_069_0007 name=22_7	UniRef50_UPI0015AE79E1 DUF2974 domain-containing protein n=3 Tax=Candidatus Gastranaerophilales bacterium TaxID=2137880 RepID=UPI0015AE79E1	Candidatus Gastranaerophilales bacterium
BVI_069_0007	UniRef50_A0A2B8JBL8	0.264	151	81	0	29	139	24	174	1.249E-04	52	BVI_069_0007 name=22_7	UniRef50_A0A2B8JBL8 Lipase_3 domain-containing protein n=2 Tax=Bacillus megaterium TaxID=1404 RepID=A0A2B8JBL8_BACME	Bacillus megaterium
BVI_069_0007	UniRef50_A0A398B0G2	0.296	116	77	0	69	178	19	134	9.863E-04	49	BVI_069_0007 name=22_7	UniRef50_A0A398B0G2 DUF2974 domain-containing protein n=1 Tax=Bacillus asahii TaxID=228899 RepID=A0A398B0G2_9BACI	Peribacillus asahii
E4-10_086_0013	UniRef50_A0A5A8D442	0.398	254	149	0	71	324	8	255	2.265E-45	177	E4-10_086_0013 name=14_13	UniRef50_A0A5A8D442 Uncharacterized protein n=1 Tax=Cafeteria roenbergensis TaxID=33653 RepID=A0A5A8D442_CAFRO	Cafeteria roenbergensis
E4-10_086_0013	UniRef50_A0A5A8C5A1	0.398	254	149	0	71	324	89	336	2.265E-45	177	E4-10_086_0013 name=14_13	UniRef50_A0A5A8C5A1 Uncharacterized protein n=4 Tax=Cafeteria roenbergensis TaxID=33653 RepID=A0A5A8C5A1_CAFRO	Cafeteria roenbergensis
E4-10_086_0013	UniRef50_A0A5A8DH43	0.400	253	148	0	71	323	8	254	3.086E-45	177	E4-10_086_0013 name=14_13	UniRef50_A0A5A8DH43 Uncharacterized protein n=2 Tax=Cafeteria roenbergensis TaxID=33653 RepID=A0A5A8DH43_CAFRO	Cafeteria roenbergensis
